type,cities_count,id,name,slug,parent
4,,2568,بهارستان (مخابرات),baharestan-esfahan-district,4
2,,314,بهبهان,behbahan,902
4,,297,بهجت‌آباد,behjat-abad,1
4,,917,بهداشت,behdasht,1
4,,1580,بهرام‌آباد,bahram-abad,4
4,,4320,بهرام آباد,bahram-abad-eslam-shahr,29
2,,3821,بهرمان,bahreman,877
4,,3457,بهزاد شهر,behzad-shahr,7
4,,3252,بهزیستی,behzisti,1776
4,,458,بهشت,beheshti-mashhad,3
4,,3414,بهشت آباد,behesht-abad,7
4,,4430,بهشت سکینه,behesht-sakineh,2
4,,3268,بهشت عسکری,behesht-askari,1776
4,,3317,بهشت محمدیه,behesht-mohammadiyeh,791
4,,3303,بهشت نبی,behesht-nabi,791
4,,2279,بهشتی,beheshti-kashan,30
2,,832,بهشهر,behshahr,893
2,,4009,بهمن,bahman-city,886
4,,1146,بهمن,bahman,3
2,,2710,بهمن صغاد,bahman-soghad,898
4,,254,بهمن یار,bahman-yar,1
2,,1865,بهنمیر,bahnamir,893
2,,3786,بوئین زهرا,boveyn-zahra,878
2,,2203,بوئین و میاندشت,booyin-va-miyaandasht,890
2,,2707,بوانات,bavanat,898
